ID_Cliente;Idade;Genero;Estado_Civil;Escolaridade;Renda_Anual;Valor_do_Emprestimo;Prazo_do_Emprestimo;Numero_de_Dependentes;Tipo_de_Residencia;Inadimplencia
1;35;F;Casado;Ensino Superior;60000;10000;36;1;Casa Própria;Não
3;45;F;Casado;Pós-Graduação;40000;8000;24;2;Casa Alugada;Não
4;40;F;Divorciado;Ensino Superior;100;15000;48;0;Casa Própria;Não
6;20;F;Casado;Ensino Superior;;12000;36;3;Casa Própria;Não
7;42;F;Casado;Ensino Médio;50000;9000;24;2;Casa Própria;Sim
10;48;F;Solteiro;Ensino Superior;90000;18000;48;2;Casa Própria;Sim
11;36;M;Casado;Ensino Médio;65000;14000;36;1;Apartamento Próprio;Não
13;44;F;Casado;Ensino Médio;55000;11000;24;2;Casa Própria;Sim
14;39;F;Divorciado;Pós-Graduação;48000;8500;24;1;Casa Própria;Sim
16;51;F;Casado;Ensino Médio;75000;16000;48;3;Apartamento Alugado;Sim
17;17;F;Casado;Pós-Graduação;62000;13000;36;2;Casa Própria;Não
18;37;F;;Ensino Médio;42000;10000;24;1;Casa Própria;Sim
20;49;F;Casado;Ensino Superior;-2000;17000;48;2;Apartamento Alugado;Não
21;34;F;Solteiro;Ensino Médio;72000;14000;36;1;Apartamento Alugado;Não
23;29;F;Divorciado;Ensino Superior;52000;9000;24;1;Casa Própria;Sim
24;41;F;Casado;Pós-Graduação;85000;20000;48;2;Casa Própria;Não
25;23;F;Casado;Ensino Médio;63000;15000;36;1;Casa Própria;Não
27;52;F;Solteiro;Pós-Graduação;78000;16000;48;3;Casa Própria;Sim
28;47;F;Casado;Ensino Médio;54000;11000;36;2;Apartamento Alugado;Sim
29;55;F;Casado;Ensino Superior;-50000;7000;24;1;Casa Própria;Não
31;50;F;Casado;Pós-Graduação;73000;15000;36;3;Casa Própria;Sim
32;45;F;Divorciado;Ensino Superior;67000;16000;36;1;Casa Alugada;Sim
33;40;M;Casado;Ensino Médio;59000;11000;36;2;Casa Própria;Não
35;53;F;Casado;Ensino Médio;41000;9000;24;3;Apartamento Alugado;Não
36;48;F;Casado;Ensino Superior;92000;20000;48;2;Casa Própria;Não
37;33;F;Casado;Ensino Médio;76000;17000;36;1;Casa Própria;Não
39;46;F;Casado;Pós-Graduação;63000;14000;36;2;Casa Alugada;Não
40;41;F;Divorciado;Ensino Superior;47000;10000;24;1;Casa Própria;Não
41;36;F;Casado;Ensino Médio;83000;18000;48;2;Casa Própria;Não
43;51;F;Casado;Ensino Superior;100;14000;36;2;Apartamento Alugado;Sim
44;43;M;Casado;Ensino Médio;66000;16000;36;3;Casa Própria;Não
47;15;F;Solteiro;Ensino Superior;55000;12000;24;2;Casa Própria;Não
48;44;M;Solteiro;Pós-Graduação;88000;21000;48;3;Casa Própria;Não
50;34;F;Divorciado;Ensino Médio;79000;17000;36;1;Casa Alugada;Sim
52;52;F;Casado;Ensino Superior;57000;13000;36;2;Apartamento Próprio;Não
53;2;F;Casado;Pós-Graduação;44000;8000;24;3;Apartamento Alugado;Não
54;42;F;Casado;Ensino Médio;74000;16000;36;1;Casa Própria;Sim
57;53;F;Divorciado;Ensino Médio;71000;15000;36;2;Apartamento Próprio;Não
58;30;M;Solteiro;Pós-Graduação;64000;16000;36;3;Casa Própria;Não
60;38;M;Divorciado;Ensino Médio;49000;10000;24;1;Casa Própria;Não
61;33;F;Solteiro;Ensino Superior;82000;18000;48;1;Apartamento Alugado;Não
63;46;F;Casado;Ensino Superior;69000;17000;36;1;Apartamento Alugado;Sim
64;41;M;Casado;Pós-Graduação;73000;13000;24;2;Casa Própria;Não
65;46;M;Solteiro;Ensino Médio;48000;9500;24;1;Apartamento Próprio;Não
67;50;M;Casado;Ensino Médio;80000;17000;36;3;Apartamento Alugado;Sim
68;45;M;Casado;Pós-Graduação;74000;18000;36;2;Casa Própria;Sim
69;40;F;Divorciado;Ensino Superior;67000;14000;24;1;Casa Própria;Não
70;35;M;Casado;Ensino Médio;56000;11000;36;2;Casa Própria;Não
72;49;F;Solteiro;Pós-Graduação;45000;8500;24;2;Apartamento Alugado;Sim
73;34;F;Solteiro;Ensino Médio;85000;20000;48;1;Apartamento Alugado;Não
75;54;F;Casado;Ensino Superior;78000;18000;36;3;Apartamento Próprio;Não
76;49;M;Divorciado;Pós-Graduação;72000;16000;36;2;Casa Própria;Não
77;44;M;Solteiro;Ensino Médio;63000;13000;24;3;Casa Própria;Não
79;45;M;Solteiro;Ensino Médio;52000;10000;24;0;;Não
80;1;F;Divorciado;Ensino Superior;85000;18000;48;2;Casa Própria;Sim
81;40;M;Casado;Ensino Médio;78000;19000;36;1;Apartamento Alugado;Não
82;35;F;Casado;Ensino Médio;71000;14000;24;2;Casa Própria;Não
84;50;F;Solteiro;Pós-Graduação;74000;16000;36;3;Casa Própria;Não
85;45;F;Casado;Ensino Superior;10;12000;36;2;Casa Alugada;Sim
86;40;M;Casado;Ensino Médio;39000;7000;24;3;Casa Própria;Não
87;36;F;Solteiro;Pós-Graduação;73000;15000;36;1;Apartamento Alugado;Não
89;-99;F;Casado;Ensino Superior;67000;16000;36;2;Casa Própria;Sim
90;47;F;Casado;Pós-Graduação;46000;9000;24;3;Casa Própria;Não
91;42;M;Casado;Ensino Médio;83000;19000;48;1;Casa Própria;Não
